"sigOBS","sigPRO","muEI1","muI1S1","muI1I2","muI2S2","muS2S1","rho","bT","q","c","delta","S1_0","S2_0","E_0","I1_0","I2_0","K_0","F_0"
0.3409,0.3772,32.6387,10.3803,6.9881,2.5995,0.3761,0.0256,8.2206,0.4435,0.6798,0.02,0.7693,0.0901,0.0095,0.085,0.046,0.8161,0.1308
0.0807,0.2758,30.2849,17.1444,11.2132,1.4074,0.4894,0.8244,6.0932,0.783,0.7621,0.02,0.7499,0.0814,0.0301,0.0643,0.0743,0.836,0.3438
0.1457,0.2953,25.1763,2.6286,13.1101,2.2998,0.0686,0.3223,5.0551,0.5662,0.591,0.02,0.8536,0.0444,0.0245,0.004,0.0736,0.1922,0.6609
0.0523,0.2308,25.5379,11.8852,12.725,1.3975,0.8689,0.9732,5.9956,0.1027,0.3679,0.02,0.8504,0.0178,0.0664,7e-04,0.0648,0.9153,0.3848
0.2776,0.3526,39.7841,15.2719,17.0845,1.5044,0.6602,0.9141,9.692,0.1106,0.4234,0.02,0.7565,0.0533,0.0251,0.0825,0.0826,0.9388,0.1704
0.1959,0.3243,38.6074,9.3791,7.2952,2.3044,0.6772,0.8665,7.2582,0.3367,0.8639,0.02,0.8326,0.0262,0.0067,0.0539,0.0806,0.9732,0.7911
0.4575,0.333,21.4379,4.3592,6.5359,2.9313,0.3094,0.1512,0.7661,0.8643,0.2938,0.02,0.764,0.0682,0.0603,0.0453,0.0622,0.1387,0.5031
0.0217,0.1874,20.6749,9.7769,3.317,1.6069,0.1484,0.1285,2.1588,0.8669,0.4193,0.02,0.8393,0.0663,0.044,0.0438,0.0066,0.1723,0.888
0.0582,0.1014,29.7043,8.8921,14.2556,0.8053,0.0781,0.6482,3.7427,0.23,0.1925,0.02,0.772,0.0529,0.0614,0.0313,0.0824,0.154,0.9207
0.2287,0.3461,25.2805,12.7604,2.3702,0.9832,0.6745,0.1547,5.6037,0.2831,0.356,0.02,0.8084,0.0859,0.0197,0.0247,0.0613,0.7293,0.5349
0.4142,0.0114,53.609,15.8396,11.2828,0.1133,0.5393,0.0869,5.0827,0.5313,0.7151,0.02,0.8551,0.0483,0.0019,0.022,0.0727,0.1241,0.914
0.4926,0.4578,54.117,5.9046,4.9023,1.665,0.6418,0.9758,4.484,0.9318,0.7471,0.02,0.8912,0.0156,0.0387,0.006,0.0485,0.5654,0.1013
0.1717,0.4287,23.5703,3.7078,2.9615,2.383,0.7317,0.6232,1.0694,0.6383,0.5908,0.02,0.834,0.0094,0.0247,0.0322,0.0997,0.9641,0.9408
0.1231,0.1519,19.1647,13.5146,16.7203,2.4429,0.3745,0.8102,0.7817,0.9802,0.8982,0.02,0.7942,0.0478,0.0043,0.0957,0.058,0.0552,0.1626
0.1788,0.472,17.8452,8.493,14.9175,2.4262,0.911,0.4405,1.7332,0.8898,0.3293,0.02,0.7802,0.0309,0.0753,0.0665,0.0472,0.3006,0.7796
0.2881,0.4866,42.8457,5.2991,12.0344,2.38,0.5892,0.2619,4.696,0.9101,0.0168,0.02,0.844,0.0346,0.0029,0.0592,0.0594,0.0623,0.038
0.338,0.4749,39.0715,9.0562,5.6373,2.2872,0.3252,0.4302,5.0457,0.3401,0.6532,0.02,0.7581,0.0698,0.0707,0.0357,0.0657,0.9501,0.8507
0.2493,0.0143,17.3947,13.3712,2.8777,2.1897,0.2873,0.0782,6.0737,0.5493,0.129,0.02,0.8307,0.0176,0.0476,0.0508,0.0533,0.205,0.4797
0.2215,0.1651,36.6114,11.1346,15.7869,1.1876,0.6903,0.6089,5.8801,0.1785,0.3734,0.02,0.8467,0.0188,0.0645,0.0296,0.0404,0.5244,0.8889
0.3884,0.3227,16.5527,9.5802,5.3375,1.2238,0.2266,0.693,2.0041,0.2497,0.2792,0.02,0.8347,0.0673,0.0549,0.0218,0.0213,0.5164,0.1475
0.2723,0.1518,36.223,4.9028,8.6085,2.8347,0.4586,0.5586,0.2219,0.7386,0.6954,0.02,0.8043,0.0638,0.0187,0.0384,0.0748,0.7196,0.7447
6e-04,0.1879,56.2823,12.7127,15.0728,2.4372,0.6995,0.8105,1.0868,0.0703,0.5132,0.02,0.7386,0.0797,0.0578,0.0509,0.073,0.8523,0.4121
0.4136,0.2573,25.732,3.6666,9.7525,1.884,0.9173,0.6232,9.3018,0.3702,0.8074,0.02,0.7471,0.0452,0.0877,0.0486,0.0714,0.5259,0.6489
0.1479,0.2748,45.5318,12.668,8.2537,2.7102,0.9205,0.9615,7.6296,0.2136,0.3317,0.02,0.7858,0.0048,0.046,0.0939,0.0696,0.3671,0.4779
0.4045,0.3099,14.1453,8.895,15.0806,0.6587,0.3781,0.9095,6.5763,0.7458,0.0575,0.02,0.8585,0.0734,0.0502,0.0045,0.0134,0.8085,0.0676
0.485,0.0902,54.2787,10.2618,7.5776,1.0687,0.4129,0.0649,1.5231,0.2807,0.1596,0.02,0.8164,0.0684,0.0679,0.0296,0.0177,0.2522,0.2145
0.4951,0.0198,46.5256,5.3989,6.2075,2.4232,0.6674,0.3314,1.7399,0.5078,0.2326,0.02,0.8239,0.0357,0.0349,0.0864,0.0191,0.2781,0.2583
0.3058,0.4022,58.4602,8.6999,8.5245,1.4533,0.1249,0.3946,1.2704,0.8635,0.4643,0.02,0.8811,0.0917,0.01,0.0034,0.0138,0.8771,0.7048
0.3744,0.0502,14.9356,6.1626,9.7615,1.6073,0.8414,0.9723,6.529,0.1278,0.8493,0.02,0.7628,0.0479,0.0401,0.0699,0.0794,0.2117,0.4238
0.4946,0.0196,52.079,5.9696,6.1978,1.244,0.6877,0.1548,0.3204,0.9646,0.8493,0.02,0.7312,0.0608,0.0541,0.0671,0.0868,0.3785,0.7751
0.1697,0.091,55.7842,9.2923,2.3418,1.8206,0.9752,0.0921,1.6481,0.8949,0.987,0.02,0.8345,0.0063,0.0786,0.0651,0.0155,0.5083,0.2381
0.1105,0.0617,45.4015,2.7574,7.9161,2.9238,0.3604,0.9639,9.8807,0.5996,0.3459,0.02,0.8121,0.0011,0.0348,0.0671,0.0849,0.3362,0.892
0.068,0.1729,58.6663,9.4489,6.7806,2.8772,0.6667,0.2619,0.9412,0.9849,0.8537,0.02,0.727,0.0734,0.0599,0.0727,0.0669,0.3513,0.4979
0.3164,0.3027,37.4038,17.0822,4.3753,2.2159,0.2853,0.2601,8.4659,0.6635,0.8158,0.02,0.7807,0.0485,0.0534,0.0883,0.0291,0.6297,0.9107
0.0971,0.1704,35.2787,14.2127,4.135,2.2296,0.2099,0.1319,9.7641,0.7283,0.6359,0.02,0.8209,0.0483,0.0624,0.031,0.0374,0.501,0.7925
0.238,0.4131,45.9707,16.5257,8.6371,0.951,0.5431,0.6829,9.1055,0.4136,0.7076,0.02,0.8686,0.0597,0.0102,0.0024,0.0591,0.4146,0.6783
0.0947,0.2418,41.1768,17.5536,2.579,0.7791,0.3315,0.2476,8.4617,0.5157,0.3374,0.02,0.9206,0.0668,0.0051,0.0061,0.0014,0.1095,0.7024
0.3816,0.1292,21.2077,9.3938,5.9914,2.3394,0.1798,0.9178,0.6425,0.1521,0.4275,0.02,0.8497,0.0206,0.0329,0.0677,0.0291,0.7917,0.0143
0.238,0.1097,14.0084,11.9136,12.5814,0.302,0.4871,0.132,0.1823,0.0014,0.3637,0.02,0.8109,0.0096,0.0456,0.0513,0.0826,0.2417,0.3408
0.2337,0.4744,37.8695,14.959,9.0856,1.6049,0.8838,0.3403,9.3838,0.0083,0.2424,0.02,0.8412,0.0478,0.0571,0.0166,0.0373,0.1417,0.6198
0.406,0.484,51.9924,12.1888,6.7964,1.5671,0.4038,0.5963,6.6928,0.6633,0.5517,0.02,0.7809,0.0608,0.007,0.0746,0.0766,0.2668,0.357
0.2449,0.3302,51.2262,17.6841,15.2647,2.7277,0.8794,0.3282,6.761,0.1485,0.4376,0.02,0.8447,0.0674,0.0067,0.0398,0.0414,0.4352,0.0962
0.2617,0.0829,17.6159,8.8238,3.1608,2.35,0.8691,0.2532,6.8488,0.2553,0.3789,0.02,0.8306,0.0299,0.0039,0.0754,0.0601,0.5325,0.3338
0.1695,0.1274,57.6426,16.5009,7.7807,2.2881,0.8177,0.0063,5.5144,0.4978,0.4876,0.02,0.8228,0.0182,0.0298,0.0605,0.0686,0.3185,0.5865
0.1475,0.4757,52.4645,11.3337,10.5788,0.2704,0.7169,0.1813,5.7838,0.4725,0.1604,0.02,0.8197,0.0672,0.0397,0.0091,0.0643,0.1719,0.873
0.3144,0.1116,41.8622,2.6033,8.0881,0.4076,0.4793,0.6723,3.5186,0.4454,0.744,0.02,0.8866,0.0714,0.0074,0.0171,0.0175,0.0277,0.2894
0.3438,0.2204,30.5368,14.8878,12.0052,2.6179,0.8995,0.6881,8.4774,0.5778,0.1336,0.02,0.9133,0.0017,0.0027,0.0778,0.0045,0.7875,0.6941
0.2454,0.0904,38.7757,16.5104,8.2062,0.8698,0.7308,0.7263,2.8016,0.7994,0.7179,0.02,0.8375,0.012,0.029,0.0701,0.0514,0.1725,0.4122
0.1415,0.3968,34.6377,6.6151,6.1401,0.4847,0.0957,0.7693,2.6631,0.704,0.8785,0.02,0.7531,0.0805,0.0102,0.089,0.0672,0.6189,0.1001
0.0968,0.4988,43.8151,12.8714,5.0435,1.7605,0.2039,0.8484,4.0228,0.3002,0.1331,0.02,0.8074,0.0143,0.057,0.055,0.0663,0.3389,0.4429
0.3292,0.3999,27.3214,14.6637,5.1414,0.6382,0.9531,0.6074,7.2943,0.6544,0.2256,0.02,0.8104,0.0415,0.0171,0.0682,0.0628,0.8174,0.4923
0.2888,0.0636,59.6975,11.8133,13.1773,2.3624,0.6919,0.8454,3.0168,0.0884,0.9285,0.02,0.8992,0.0239,0.0373,0.0082,0.0315,0.4954,0.771
0.0147,0.2833,22.8989,13.4224,14.8044,1.5576,0.0018,0.0527,8.8476,0.3764,0.7815,0.02,0.8125,0.0609,0.0171,0.0798,0.0297,0.5503,0.1265
0.3238,0.009,47.4164,3.7773,11.0056,1.5272,0.3067,0.2413,8.4435,0.0773,0.2064,0.02,0.8291,0.0568,0.0449,0.0686,6e-04,0.3553,0.1067
0.0287,0.4398,19.3594,14.6415,7.3353,0.7352,0.7527,0.3864,7.8406,0.8478,0.0618,0.02,0.8422,0.042,0.0305,0.0253,0.06,0.1585,0.0718
0.1549,0.0717,39.5384,6.3283,16.5176,2.2408,0.9263,0.7012,4.2888,0.5197,0.4467,0.02,0.7907,0.0806,0.0872,0.0147,0.0268,0.2619,0.4734
0.4527,0.2879,34.1852,4.8663,13.6697,2.7573,0.6942,0.1601,1.6318,0.8997,0.3217,0.02,0.7905,0.0533,0.0289,0.0525,0.0748,0.9998,0.5395
0.3547,0.3919,35.8686,4.159,2.1197,1.0812,0.6361,0.3991,0.1968,0.8822,0.2107,0.02,0.8513,0.0764,0.0475,0.0209,0.0039,0.163,0.0875
0.0534,0.0459,33.8745,2.2792,8.3199,1.4457,0.9383,0.074,9.2432,0.9291,0.761,0.02,0.8352,0.077,0.0552,0.0106,0.022,0.4595,0.082
0.4759,0.0244,37.7996,15.6826,4.5059,2.297,0.7165,0.9193,7.7543,0.6286,0.9527,0.02,0.8311,0.0035,0.0372,0.0882,0.04,0.1691,0.5902
0.2335,0.2976,29.3143,17.6401,2.4076,2.3982,0.9546,0.4684,8.5914,0.2776,0.1102,0.02,0.8376,0.0264,0.0546,0.0668,0.0145,0.9731,0.5514
0.3414,0.3589,41.2995,4.9342,7.4738,1.7311,0.9826,0.4335,9.0953,0.6236,0.2281,0.02,0.8452,0.0174,0.0478,0.0508,0.0388,0.868,0.5681
0.0288,0.1937,56.5974,17.9201,4.1638,1.3072,0.5229,0.1117,4.2452,0.7375,0.5498,0.02,0.9061,0.007,0.0694,0.0057,0.0118,0.5198,0.4352
0.1532,0.437,52.019,4.6149,2.3262,0.1455,0.8894,0.6407,1.5385,0.7559,0.5957,0.02,0.8097,0.0607,0.0354,0.025,0.0691,0.0155,0.4034
0.0499,0.4399,41.9331,11.1527,12.7865,0.2897,0.5699,0.3588,1.7231,0.3606,0.5625,0.02,0.8831,0.0102,0.0063,0.0669,0.0335,0.4169,0.8981
0.1447,0.3058,60.7204,16.0185,17.3745,1.6742,0.3446,0.2192,6.7936,0.3158,0.9072,0.02,0.8873,0.0231,0.0104,0.0411,0.0381,0.3075,0.9919
0.2798,0.1122,52.2999,8.3956,3.7163,0.2815,0.2772,0.5827,8.0295,0.1611,0.6134,0.02,0.8798,0.0198,0.0286,0.0361,0.0357,0.8283,0.5262
0.0466,0.0721,57.8878,16.1519,11.4043,2.8719,0.7526,0.4862,7.3612,0.7012,0.9811,0.02,0.7715,0.0653,0.0786,0.007,0.0776,0.4235,0.6633
0.4124,0.3299,34.1454,13.7735,13.9366,2.3181,0.6586,0.2069,9.6208,0.8924,0.7333,0.02,0.7943,0.0758,0.056,0.0069,0.0671,0.0501,0.2937
0.4153,0.312,36.008,8.5752,17.0926,1.2772,0.6418,0.3535,4.6366,0.4783,0.4934,0.02,0.8811,0.0044,0.0169,0.0836,0.014,0.1938,0.1104
0.2683,0.2327,50.7457,16.9616,8.4659,0.969,0.708,0.6601,3.413,0.5101,0.2858,0.02,0.8696,0.0614,0.0179,0.0223,0.0288,0.2136,0.9931
0.1074,0.3044,59.7187,9.4685,11.0154,1.0499,0.4563,0.3054,0.2294,0.5425,0.6799,0.02,0.7477,0.0762,0.0577,0.0651,0.0533,0.7999,0.8849
0.223,0.0815,19.9101,6.7233,17.7035,0.745,0.4001,0.5844,4.0664,0.0139,0.0771,0.02,0.7951,0.0918,0.0699,0.0177,0.0255,0.1856,0.4984
0.0841,0.3204,40.0085,8.4417,2.7933,1.0793,0.3479,0.9087,2.1907,0.4288,0.4645,0.02,0.8651,0.0541,0.0094,0.028,0.0434,0.0896,0.4381
0.3912,0.4063,47.2405,15.2996,9.4704,1.8983,0.9688,0.1894,9.7086,0.1187,0.1203,0.02,0.8418,0.0237,0.0217,0.0227,0.0902,0.1811,0.3445
0.0432,0.3198,37.7949,2.5516,8.1909,2.063,0.1356,0.5416,3.4753,0.2549,0.322,0.02,0.8087,0.0547,0.0109,0.0529,0.0729,0.8981,0.4142
0.0898,0.0632,25.2155,10.4987,10.6911,0.6643,0.4852,0.0978,7.2343,0.79,0.9263,0.02,0.7413,0.0758,0.0591,0.076,0.0479,0.6083,0.2752
0.4279,0.0512,52.9092,15.5776,15.1175,0.1671,0.2627,0.0967,6.3407,0.0298,0.0504,0.02,0.8738,0.001,0.0261,0.0557,0.0434,0.4931,0.2567
0.2361,0.3765,36.578,3.9442,9.9441,2.7607,0.2367,0.9078,4.5013,0.5447,0.7949,0.02,0.861,0.0174,0.0393,0.0786,0.0037,0.7751,0.0745
0.3983,0.276,43.0543,9.6826,2.3769,2.7108,0.9329,0.0234,6.5625,0.8999,0.8878,0.02,0.8451,0.0327,0.09,0.0086,0.0236,0.8136,0.6286
0.4173,0.3301,37.0735,17.4625,3.4725,1.7775,0.5488,0.4985,0.8045,0.4565,0.4588,0.02,0.7464,0.077,0.0612,0.0671,0.0483,0.9822,0.9694
0.1034,0.4579,48.1952,4.5858,7.3776,0.975,0.8193,0.7209,2.0806,0.2403,0.493,0.02,0.8154,0.0641,0.0193,0.0428,0.0584,0.6766,0.3344
0.486,0.2693,43.8306,9.3856,10.5433,2.5155,0.7368,0.5976,4.591,0.6116,0.4854,0.02,0.8428,0.0434,0.0453,0.0439,0.0247,0.2432,0.0947
0.4073,0.263,49.0297,17.8935,17.9166,0.5303,0.6827,0.1343,2.7759,0.7862,0.1694,0.02,0.9242,0.0075,2e-04,0.0152,0.0528,0.3352,0.3227
0.0508,0.2527,59.5139,16.3214,3.9048,1.5011,0.3769,0.5061,7.5729,0.6572,0.5898,0.02,0.8628,0.0632,0.0125,0.0116,0.05,0.8917,0.9119
0.3309,0.2094,20.1295,7.7794,2.1072,2.896,0.6,0.212,6.8269,0.91,0.0676,0.02,0.8679,0.0827,0.0188,0.0021,0.0285,0.1521,0.0762
0.1856,0.315,53.0657,4.4429,13.8094,1.3507,0.7799,0.0352,4.648,0.2292,0.0325,0.02,0.7987,0.0868,0.0067,0.0295,0.0783,0.1108,0.0265
0.3498,0.3683,46.7623,6.097,14.568,2.7625,0.5473,0.7264,8.0996,0.3884,0.8094,0.02,0.7553,0.0417,0.061,0.0772,0.0648,0.6406,0.3569
0.3897,0.2321,56.1446,13.1604,16.7006,2.8995,0.7999,0.106,1.5362,0.9186,0.5943,0.02,0.8556,0.0228,0.0241,0.0418,0.0555,0.8076,0.7369
0.3919,0.122,44.8287,11.6651,8.7438,1.5189,0.2896,0.5262,9.8878,0.8601,0.5525,0.02,0.8758,0.0453,0.0317,0.0258,0.0215,0.1565,0.3995
0.2503,0.2757,16.465,16.3742,14.2379,1.837,0.8496,0.3936,4.3787,0.0713,0.3626,0.02,0.7963,0.0557,0.0723,0.0459,0.0298,0.7973,0.8748
0.3321,0.4423,24.9211,9.823,13.7947,1.0631,0.9997,0.9428,9.6794,0.8647,0.6466,0.02,0.7821,0.0595,0.0696,0.0474,0.0413,0.7397,0.285
0.3129,0.3081,21.2562,12.1317,7.6972,2.1182,0.92,0.4568,6.9327,0.0908,0.527,0.02,0.7017,0.0707,0.0587,0.0862,0.0826,0.8904,0.9738
0.288,0.2954,45.5499,3.7661,6.2921,0.675,0.3917,0.5359,5.0974,0.0328,0.8698,0.02,0.8119,0.0269,0.0728,0.0291,0.0593,0.7705,0.6392
0.1978,0.4457,15.9733,3.951,8.26,0.6064,0.0532,0.892,7.7157,0.1939,0.5508,0.02,0.8987,0.033,0.0206,0.0451,0.0026,0.1778,0.5465
0.1033,0.4422,34.8364,3.3461,17.2353,0.9013,0.8083,0.6303,7.8219,0.8675,0.8156,0.02,0.8531,0.0543,0.0594,0.0168,0.0164,0.7402,0.2503
0.1263,0.2266,28.2203,9.6374,8.4769,1.8363,0.7005,0.7511,8.3228,0.6895,0.9841,0.02,0.8596,0.0474,0.0615,0.0206,0.0109,0.9057,0.65
0.286,0.2675,60.3248,2.4448,2.8053,0.4971,0.6876,0.9889,0.9314,0.8599,0.1196,0.02,0.8107,0.0012,0.0248,0.0823,0.0811,0.7483,0.383
0.4799,0.1367,44.2318,10.7179,11.1782,1.3944,0.0299,0.6458,1.3981,0.5211,0.7191,0.02,0.8016,0.0214,0.0629,0.0834,0.0307,0.873,0.2376
0.4522,0.2618,30.5989,2.3989,4.3005,1.2491,0.499,0.441,9.4486,0.2261,0.4821,0.02,0.8258,0.0416,0.0411,0.0303,0.0612,0.6648,0.0584
0.3657,0.1595,28.5814,9.7367,8.8555,1.5172,0.8056,0.5912,9.5138,0.9387,0.6076,0.02,0.8363,0.0353,0.0606,0.0224,0.0454,0.8606,0.9591
0.0029,0.173,34.9119,8.5076,15.3477,1.8619,0.0107,0.6877,2.5993,0.0243,0.1139,0.02,0.7946,0.0179,0.0774,0.0435,0.0665,0.5733,0.7802
0.3745,0.3763,28.6474,16.5441,3.2226,0.186,0.3791,0.7447,7.4451,0.4701,0.1514,0.02,0.8464,0.0031,0.0881,0.0469,0.0155,0.7412,0.5751
0.3023,0.3945,25.2634,17.4277,10.7758,1.25,0.4657,0.2438,7.0489,0.9201,0.7279,0.02,0.8782,0.0315,0.0099,0.0615,0.0189,0.3945,0.5924
0.1708,0.0746,45.1818,12.416,7.9924,0.2387,0.2741,0.4558,9.6413,0.3944,0.4549,0.02,0.7543,0.0786,0.0312,0.085,0.0509,0.5881,0.6703
0.187,0.346,31.948,4.8349,11.897,0.3697,0.1282,0.3185,4.8557,0.9559,0.5213,0.02,0.8424,0.0726,0.0282,0.0432,0.0136,0.6539,0.2294
0.2389,0.4053,21.2636,11.7446,12.0902,0.4452,0.5858,0.0253,3.6851,0.617,0.6792,0.02,0.7928,0.0219,0.0273,0.0736,0.0843,0.4587,0.5389
0.4598,0.4486,45.1387,8.3704,6.7683,0.7505,0.1669,0.5442,6.8642,0.6457,0.2383,0.02,0.8651,0.0343,0.0168,0.0763,0.0075,0.6363,0.0394
0.3396,0.1709,31.0801,13.0888,4.4394,2.7734,0.7894,0.1801,5.2292,0.3193,0.5979,0.02,0.8023,0.0179,0.0471,0.088,0.0447,0.8495,0.8085
0.4674,0.2623,32.9087,6.8507,2.438,0.1742,0.6846,0.0844,0.0944,0.3408,0.7625,0.02,0.8913,0.006,0.0943,0.0082,3e-04,0.0614,0.4799
0.0151,0.4675,21.2135,15.0752,3.7337,0.5723,0.4294,0.5241,9.6816,0.6316,0.9118,0.02,0.802,0.0268,0.0753,0.0288,0.0671,0.1709,0.2386
0.4559,0.2922,48.414,4.2071,8.2507,2.1938,0.4245,0.3355,5.2354,0.8141,0.3537,0.02,0.7787,0.0853,0.0311,0.0216,0.0832,0.6642,0.2181
0.3706,0.21,37.9545,12.246,4.9975,1.0721,0.3706,0.5028,4.6927,0.1173,0.5661,0.02,0.7399,0.0815,0.0618,0.0673,0.0495,0.5137,0.8408
0.1308,0.4531,30.3494,11.5206,4.6192,2.4451,0.1945,0.4308,5.8069,0.1438,0.2194,0.02,0.7965,0.0653,0.0475,0.018,0.0726,0.7201,0.986
0.1532,0.1225,60.4424,10.0886,14.8455,0.2307,0.3728,0.8573,1.9162,0.3737,0.0578,0.02,0.7682,0.0625,0.0627,0.0707,0.0358,0.2063,0.8475
0.4511,0.0621,24.6115,16.1045,13.0972,2.419,0.6049,0.607,2.7847,0.5244,0.4148,0.02,0.8229,0.0267,0.0497,0.0496,0.0512,0.253,0.8137
0.2057,0.4171,29.1805,16.8008,6.3668,0.5256,0.1884,0.929,4.9274,0.5477,0.4324,0.02,0.7337,0.0824,0.0661,0.0498,0.068,0.1743,0.2011
0.196,0.3406,43.9452,15.1609,10.0878,2.9736,0.6775,0.5584,3.4472,0.4541,0.3018,0.02,0.7806,0.0343,0.0294,0.0626,0.0932,0.4896,0.1223
0.2799,0.2475,19.6175,14.169,16.4495,2.2586,0.3132,0.5942,6.4353,0.9277,0.713,0.02,0.8733,0.0181,0.0801,0.0189,0.0097,0.7747,0.1495
0.274,0.0485,51.7247,10.5503,10.4815,1.0982,0.1081,0.3543,1.9105,0.8562,0.0376,0.02,0.7743,0.0422,0.0586,0.0599,0.0649,0.4916,0.8446
0.4543,0.4476,27.4521,15.0262,5.1808,2.6745,0.2257,0.3524,2.3673,0.0881,0.4516,0.02,0.8732,0.0402,0.0278,0.0047,0.0542,0.6771,0.3257
0.0641,0.381,50.7595,5.5805,11.6484,2.5125,0.6124,0.1665,4.2336,0.2334,0.6659,0.02,0.7953,0.0243,0.0874,0.0137,0.0793,0.7746,0.9438
0.1009,0.2566,21.9411,3.3339,9.7625,2.6608,0.9144,0.1878,1.8597,0.0797,0.6647,0.02,0.8401,0.008,0.0842,0.0066,0.061,0.4731,0.0544
0.3024,0.0605,29.0954,6.081,10.3111,1.4837,0.6992,0.7508,4.0045,0.8855,0.5644,0.02,0.8486,0.0447,0.0363,0.0498,0.0206,0.4702,0.6113
0.3507,0.2401,52.8094,14.4343,5.354,1.1252,0.7116,0.258,7.9101,0.9559,0.0519,0.02,0.8945,0.0342,0.0055,0.0472,0.0186,0.5799,0.4861
0.3951,0.3064,25.8174,10.9989,9.9668,1.9709,0.7373,0.6325,3.7113,0.397,0.8485,0.02,0.9034,0.0097,0.069,2e-04,0.0178,0.1802,0.0649
0.2484,0.0676,22.0382,6.6435,10.2796,2.7293,0.6598,0.0099,8.4845,0.5091,0.3692,0.02,0.815,0.022,0.063,0.0154,0.0846,0.2308,0.3884
0.2864,0.2786,44.0712,17.7039,14.7802,1.378,0.8837,0.1867,7.1002,0.7528,0.6719,0.02,0.8414,0.0171,0.0841,0.0523,0.0052,0.6467,0.8868
0.0465,0.0053,49.6938,10.8074,8.9761,0.386,0.2132,0.6486,8.3311,0.3543,0.8995,0.02,0.8184,0.0134,0.0532,0.0699,0.0451,0.5728,0.3883
0.1143,0.3846,59.5076,12.3368,3.4705,0.4457,3e-04,0.8584,8.9395,0.6605,0.3153,0.02,0.7979,0.0192,0.0848,0.019,0.0791,0.0177,0.8741
0.1124,0.2184,34.5652,14.4659,14.3907,1.0492,0.7857,0.3394,2.6036,0.8757,0.7063,0.02,0.8386,0.043,0.054,0.0155,0.049,0.6997,0.6161
0.0266,0.3711,20.5685,8.7874,7.7302,1.0848,0.4402,0.9244,8.6109,0.0427,0.7153,0.02,0.87,0.0183,0.0256,0.051,0.0351,0.6996,0.7215
0.346,0.0474,60.2146,9.183,11.9016,0.8135,0.8509,0.6315,1.2003,0.828,0.5227,0.02,0.8056,0.0742,0.0315,0.0048,0.0839,0.0805,0.6913
0.0772,0.0234,19.6492,7.5164,15.9877,1.2617,0.5206,0.1183,8.1436,0.3681,0.0431,0.02,0.7922,0.0444,0.0714,0.0751,0.0168,0.0541,0.5547
0.1178,0.2787,29.3987,9.7124,16.2014,0.5532,0.2504,0.6431,7.8424,0.0108,0.0485,0.02,0.7742,0.0882,0.0474,0.0218,0.0684,0.8613,0.9352
0.1303,0.1815,33.8908,9.1392,12.2199,0.873,0.0214,0.6863,6.1597,0.611,0.6456,0.02,0.844,0.0257,0.0705,0.0416,0.018,0.4321,0.0207
0.0051,0.0133,17.313,3.825,15.8148,2.9823,0.7958,0.8925,1.6438,0.6553,0.5736,0.02,0.8505,0.0298,0.0033,0.0876,0.0287,0.4221,0.1299
0.0798,0.2441,25.5978,14.461,2.6992,2.9692,0.0664,0.0409,8.6194,0.1578,0.7276,0.02,0.8107,0.0523,0.046,0.0181,0.073,0.4068,0.4756
0.2827,0.3066,27.0123,12.875,15.7829,2.4974,0.1792,0.0066,5.8549,0.2759,0.9223,0.02,0.7433,0.063,0.0906,0.0419,0.0612,0.4657,0.1084
0.0166,0.1706,31.7677,16.5201,15.2102,2.4832,0.7956,0.367,2.6834,0.1643,0.9078,0.02,0.8281,0.0789,0.0497,0.0364,0.0068,0.2076,0.77
0.0111,0.0981,42.3044,7.1655,16.1111,2.7403,0.3421,0.9372,7.9854,0.2665,0.3153,0.02,0.7407,0.0612,0.0692,0.0528,0.076,0.4265,0.7831
0.1816,0.0143,54.689,4.2976,3.5224,2.6104,0.3441,0.7413,3.5748,0.4965,0.2704,0.02,0.7835,0.0635,0.0477,0.0369,0.0684,0.7848,0.6175
0.4535,0.3088,26.9148,10.8443,11.9406,2.8929,0.4822,0.8634,1.4089,0.8734,0.3834,0.02,0.8277,0.0552,0.0318,0.0599,0.0255,0.7641,0.9187
0.022,0.453,21.0027,11.5517,12.6894,2.1745,0.4406,0.1097,1.0623,0.2185,0.0348,0.02,0.8003,0.0312,0.01,0.079,0.0795,0.9814,0.4161
0.2303,0.0483,54.4578,9.3392,16.5558,2.56,0.8935,0.7947,2.0417,0.8411,0.4652,0.02,0.8001,0.0382,0.0528,0.0914,0.0174,0.2448,0.2346
0.0483,0.4077,24.8549,5.6087,10.3277,1.3005,0.2253,0.2509,9.1105,0.0856,0.481,0.02,0.8595,0.016,0.0248,0.0435,0.0561,0.9882,0.8333
0.217,0.1064,33.3001,10.0706,7.6452,2.2603,0.1714,0.0673,4.5105,0.6251,0.8991,0.02,0.709,0.0815,0.0628,0.0647,0.082,0.8129,0.3076
0.0699,0.1818,44.5273,15.4982,7.516,2.6177,0.726,0.9944,5.74,0.6162,0.6842,0.02,0.7789,0.066,0.0643,0.0633,0.0277,0.6448,0.6703
0.472,0.0463,39.9874,5.9792,17.0688,2.6298,0.4919,0.1229,2.5849,0.1745,0.5103,0.02,0.7866,0.0858,0.0436,0.0381,0.0459,0.8006,0.337
0.139,0.3242,28.8087,7.5426,6.2871,1.3376,0.3509,0.4466,6.6714,0.6666,0.8324,0.02,0.7929,0.0949,0.0782,0.0239,0.0101,0.4156,0.9625
